Date,Open,High,Low,Close,Adj Close,Volume
10/9/2017,4640,4660,4610,4620,4091.856934,73027700
10/10/2017,4650,4650,4510,4530,4012.145508,95524700
10/11/2017,4540,4550,4310,4400,3897.006592,365951800
10/12/2017,4380,4490,4370,4440,3932.433594,163091000
10/13/2017,4440,4450,4400,4430,3923.577148,122491000
10/16/2017,4380,4480,4380,4450,3941.290771,167517000
10/17/2017,4400,4410,4320,4400,3897.006592,286827400
10/18/2017,4400,4400,4190,4300,3808.438477,379725700
10/19/2017,4230,4250,4180,4210,3728.726807,231274800
10/20/2017,4250,4290,4200,4270,3781.868164,107642900
10/23/2017,4270,4320,4240,4250,3764.153809,118213500
10/24/2017,4270,4270,4230,4230,3746.440918,69942200
10/25/2017,4210,4230,4060,4090,3622.444824,308355300
10/26/2017,4010,4260,4010,4160,3684.442627,348271000
10/27/2017,4190,4200,4080,4150,3675.585938,122923500
10/30/2017,4150,4180,4080,4080,3613.588135,140445100
10/31/2017,4150,4150,4030,4030,3569.303955,111757900
11/1/2017,4070,4080,3910,3950,3498.449219,267366500
11/2/2017,3980,4110,3970,4030,3569.303955,154764900
11/3/2017,4050,4100,4010,4090,3622.444824,80926400
11/6/2017,4100,4210,4070,4190,3711.013184,177511800
11/7/2017,4180,4210,4160,4190,3711.013184,84694700
11/8/2017,4160,4160,4100,4100,3631.301514,145225500
11/9/2017,4100,4180,4100,4160,3684.442627,91933800
11/10/2017,4130,4160,4120,4120,3649.015381,56993800
11/13/2017,4130,4160,4100,4100,3631.301514,92109100
11/14/2017,4100,4110,4070,4080,3613.588135,64809800
11/15/2017,4090,4180,4080,4130,3657.872314,96128400
11/16/2017,4150,4230,4150,4200,3719.870117,134137000
11/17/2017,4200,4230,4200,4200,3719.870117,80261800
11/20/2017,4220,4220,4150,4150,3675.585938,48453900
11/21/2017,4170,4200,4150,4200,3719.870117,96842900
11/22/2017,4220,4220,4190,4200,3719.870117,69602300
11/23/2017,4200,4270,4200,4250,3764.153809,62887900
11/24/2017,4220,4320,4220,4320,3826.1521,87879900
11/27/2017,4320,4350,4280,4300,3808.438477,82769500
11/28/2017,4270,4290,4230,4240,3755.297607,99928100
11/29/2017,4220,4240,4180,4200,3719.870117,79872900
11/30/2017,4200,4220,4150,4150,3675.585938,185905200
12/1/2017,4150,4150,4150,4150,3675.585938,0
12/4/2017,4180,4230,4160,4200,3719.870117,78040500
12/5/2017,4210,4220,4180,4200,3719.870117,96504800
12/6/2017,4160,4210,4160,4200,3719.870117,92126500
12/7/2017,4200,4210,4160,4200,3719.870117,52703100
12/8/2017,4150,4200,4120,4140,3666.729248,88536500
12/11/2017,4110,4150,4110,4140,3666.729248,47625800
12/12/2017,4150,4190,4150,4170,3693.299561,63036000
12/13/2017,4150,4200,4150,4200,3719.870117,49020200
12/14/2017,4220,4250,4200,4250,3764.153809,61517800
